nom,prenom,telephone,email,banner,date_naissance,adresse,ville,code postal,motorise,num ss,provenance,langues,cursus,annee,details,upload,role,status,archive,id_cdp
TEST FINAL 2,TEST FINAL 2,0666666665,test2@test.com,B00444445,1801-01-01 00:00:00,ici,ici,96000,motorise3,2222222,Autre ville-Autre ville-Haha,langues1-langues2,cursus2,2015,xxxy,,tresorier,1,1,2
BODZFHSG,Mehdi,0636445545445545,fsdgsdfgdsfgdfsg@fefsq.com,B00393453,1990-04-05 00:00:00,2, rue Baron,Paris,75017,motorise2,184327452845823485214,Paris-Paris-Paris,langues2-langues3,cursus1,2014,Gossbo,,tresorier,1,1,2
BILEL,Bekkouche,01524254.2420,mehdi.boufous@gmail.com,bgfdh4ng4,1994-01-02 00:00:00,2, avenue ede rien ,Paris,750100,Permis sans voiture,9212142154654,sdfsdtgrdf-sdsdsd-sdsdsd,langues1-langues2-langues3,BBA 2,2009,sdsdsdsd,,tresorier,1,1,2
444654,465465,01,test@equinoa.com,test,1999-03-03 00:00:00,test,test,75000,Oui,111562154586,test-test-test,langues2,BBA 1,2011,test,,,1,1,2
Bekkouche,Bilel,1234567890,b.bekkouche@equinoa.com,123,0000-00-00 00:00:00,123 rue du ttooto,toto,12345,Oui,12345678901,111-ile de s-BBB,langues1,BBA 1,2001,azerty,,tresorier,1,1,2
billel,billlel,1234567890,b.bekkouche@equinoa.com,1234,1947-03-02 00:00:00,qsdsqdqsd,Pa,12345,Permis sans voiture,12345678901,111-bilel-bilel,langues2,BBA 2,2009,azerty,,,1,,2
SQDQSD2445,sqdqsd2445,1234567890,bilel.bekkouche@hotmail.fr,sqdqsd,1992-02-02 00:00:00,9 rue bilel,Pa,12345,Permis sans voiture,12345678901,111-bilel-bilel,langues2,BBA 1,2010,,,,1,,2
ADMINNDF,qsdqsd,1234567890,admin@equinoa.fr,AAAA,1992-03-02 00:00:00,9 rue bilel,Pa,12345,Oui,12345678901,bilel-toto-toto,langues2,BBA 2,2009,,,,1,,0
ADMINN,qsdqsd,1234567890,admin@equinoa.fr,AAAA,1991-02-03 00:00:00,9 rue qsdsqdqsd,Pa,12345,Permis sans voiture,12345678901,111-bilel-bilel,langues2,BBA 1,2009,,,,1,2,0
BILEL,Bekkouche,0651273839,admin@equinoa.fr,AAAA,1991-03-02 00:00:00,9 rue bilel,Barcelone,12345,Oui,12345678901,111-bilel-bilel,langues2,BBA 2,2010,,,,1,,0
LINA,Lina,1234567890,admin@equinoa.fr,Lina,1991-02-03 00:00:00,9 rue bilel,Barcelone,12345,Permis sans voiture,12345678901,bilel-bilel-bilel,langues3,BBA 2,2009,,,,1,,0
ADMIN,qsdqsd,1234567890,bilel.bekkouche@hotmail.fr,AAAA,1990-01-02 00:00:00,9 rue bilel,Paris,12345,Oui,12345678901,111-bilel-bilel,langues2-langues3,BBA 1,2008,,,,1,,0
